smiles,HOMO,pre
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))C1=CC=CC=C1)C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))C1=CC=CC=C1,-5.797775357220188,-5.762205
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C2=CC=C(S2)C=C(C(O)=O)C#N))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]),-5.831235416969207,-5.889437
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Zn],-6.092024454830266,-6.1612277
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C3=CC=CC=C23)C#CC4=CC=C(C=C4)C(O)=O))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F.[Ti][O],-5.217818947648767,-5.217499
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F)C1(=C(OC)C=CC=C1OC))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F.[Ti][O],-5.898433276761466,-5.914032
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C2=CC=C(S2)C(O)=O))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F.[Zn],-5.92816242028016,-5.967089
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(OC)C=CC=C1OC))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1),-5.743409367404637,-5.8230815
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Zn],-6.329624772678129,-6.292647
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1=CC=CC=C1)F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F.[Ti][O],-5.790966651967209,-5.762402
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.955294489041421,-6.0003886
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Zn],-5.523267493930915,-5.5474935
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C#CC1CCC(O1)C(=O)O)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1=CC=CC=C1)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.306726029982542,-5.2958503
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C#N)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti][O],-6.288397586202677,-6.2936482
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC(=CC(=C1)C(O)=O)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-6.3277735177587155,-6.3401275
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C(O)=O)O1))N(C1=CC=CC=C1)C2=CC=CC=C2)C(#CC1=CC=C(C=C1)OC))N(C1=CC=CC=C1)C2=CC=CC=C2.[Zn],-5.578646125030673,-5.581452
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C2=CC=C(S2)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=C(OC)C=CC=C1OC))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti][O],-6.1687922542842,-6.243108
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))N(C1=CC=CC=C1)C2=CC=CC=C2.[Ti][O],-5.592414749325258,-5.5979524
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C#CC1CCC(O1)C(=O)O)N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=CC(OC)=C(OC)C(OC)=C1))N(C1=CC=CC=C1)C2=CC=CC=C2,-5.570879678798973,-5.573936
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F.[Ti][O],-5.862883771449674,-5.911372
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C1(=CC=C(S1)C=C(CC(=O)O)C#[N]))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1.[Zn],-6.413411395281856,-6.4149456
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C=C(C(O)=O)C#N))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1=CC=CC=C1)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3),-5.284405417742505,-5.284988
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C1(=CC=C(S1)C2=CC=C(S2)C=C(C(=O)OC)C#N))F)F)C1=CC=CC=C1)F)F)C1(=C(OC)C=CC=C1OC))F)F)C1=CC=CC=C1)F)F.[Ti][O],-6.434935517195867,-6.4347234
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F.[Ti][O],-6.434590903628759,-6.4400163
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti]2OC1=CC=C(C=C1O2)C=O,-6.104043409396013,-6.101141
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))F)F)C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F)C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))F)F.[Zn],-5.506130654779894,-5.4998612
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1),-5.870215675828831,-5.8644404
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))C1(=C(OC)C=CC=C1OC))N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=C(OC)C=CC=C1OC).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.95135638539807,-5.954284
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Zn],-6.432317535216497,-6.365237
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(OC)=C(OC)C(OC)=C1).[Ti][O],-5.810900529807896,-5.7744966
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C3=CC=CC=C23)C#CC4=CC=C(C=C4)C(O)=O))C1(=C(OC)C=CC=C1OC))C1(=C(OC)C=CC=C1OC))C1(=C(OC)C=CC=C1OC).[Zn],-5.784297238271165,-5.7386775
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=C(OC)C=CC=C1OC))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1(=C(OC)C=CC=C1OC).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.701882396971201,-5.672965
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C1(=CC=C(S1)C=C(CC(=O)O)C#[N]))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1.[Ti][O],-6.541153356641189,-6.548305
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C2=CC=C(S2)C=C(C(O)=O)C#N))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F.[Ti][O],-6.061532431185127,-6.043397
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))F)F)C1=CC=CC=C1)F)F)C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))F)F)C1=CC=CC=C1)F)F.[Zn],-5.940286151295368,-5.9411583
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.396371289119543,-5.3739953
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Zn],-5.735686468699441,-5.7477393
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O)=O))C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-6.103011987170135,-6.0366664
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F.[Ti][O],-5.2235589435888405,-5.2198358
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C#CC1CCC(O1)C(=O)O)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1),-6.007673754756754,-6.0063243
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))N(C1=CC=CC=C1)C2=CC=CC=C2)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))N(C1=CC=CC=C1)C2=CC=CC=C2.[Zn],-5.706450678921215,-5.6843357
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti][O],-6.696298046597691,-6.6131487
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C3=CC=CC=C23)C#CC4=CC=C(C=C4)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C(#CC1=CC=C(C=C1)OC))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]),-5.916637461232995,-5.9606977
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O)=O))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F)C1(=CC(OC)=C(OC)C(OC)=C1))F)F)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))F)F.[Ti][O],-6.263491219424965,-6.2070193
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(S1)C(O)=O))C1=CC=CC=C1)C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1=CC=CC=C1.[Ti]2OC1=CC=C(C=C1O2)C=O,-6.349777395718775,-6.390805
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1.[Ti]2OC1=CC=C(C=C1O2)C=O,-6.40954951136473,-6.4115877
C4(=C(C5=C(C1=C(C(=C([N]1)C(=C2C(=C(C(=N2)C(=C3C(=C(C(=N3)C(=C4[N]5)C1(=CC=C(S1)C2=CC=C(S2)C=C(C(=O)OC)C#N))F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F)N(C1=CC=CC=C1)C2=CC=CC=C2)F)F)C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))F)F.[Ti][O],-5.183482434491907,-5.1970057
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C1(=CC=C(S1)C=C(CC(=O)O)C#[N]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-6.490346101806495,-6.498235
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC=C(C(O)=O)C(O)=O))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(OC)=C(OC)C(OC)=C1).[Zn],-6.2394991538496924,-6.258528
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC2=C1C=CC=CC1=C(C=C2)C#CC3=CC=C(C=C3)C(O)=O))N(C1=CC=CC=C1)C2=CC=CC=C2)N(C1=CC=CC=C1)C2=CC=CC=C2)N(C1=CC=CC=C1)C2=CC=CC=C2,-5.387263993749912,-5.3910575
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C(O)=O))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=C(OC)C=CC=C1OC))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti]2OC1=CC=C(C=C1O2)C=O,-6.428687338904183,-6.4019704
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC(=CC(=C1)C(O)=O)C(O)=O))C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1))C1=CC=CC=C1)C1(=CC(C(C)(C)C)=CC(C(C)(C)C)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-6.3623671867347875,-6.3401275
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC(=CC(=C1)C(O)=O)C(O)=O))C1(=CC(OC)=C(OC)C(OC)=C1))C(#CC1=CC=C(C=C1)OC))C1(=CC(OC)=C(OC)C(OC)=C1).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.850744504400723,-5.8336105
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(#CC1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O)=O))C1(=C(OC)C=CC=C1OC))C1(=C(OC)C=CC=C1OC))C1(=C(OC)C=CC=C1OC).[Ti]2OC1=CC=C(C=C1O2)C=O,-5.935014974979367,-5.974983
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]))C1(=CC(OC)=C(OC)C(OC)=C1))C1(=C(C(=C(C(=C1[F])[F])[F])[F])[F]).[Ti][O],-6.329758363597307,-6.2781715
C4=CC5=C(C1=CC=C([N]1)C(=C2C=CC(=N2)C(=C3C=CC(=N3)C(=C4[N]5)C(=CC1=CC=C(S1)C=C(C(O)=O)C#N))C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1))C1=C(C=CC(=C1)N(C2=CC=CC=C2)C3=CC=CC=C3))C1(=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1).[Zn],-5.336347314993874,-5.30856
